




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_A549.intersect.G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_A549.intersect.G4.genes_uniq.txt (6328)	H3K27ac_A549.intersect.G4.genes_uniq.txt (expected)	H3K27ac_A549.intersect.G4.genes_uniq.txt (over/under)	H3K27ac_A549.intersect.G4.genes_uniq.txt (fold Enrichment)	H3K27ac_A549.intersect.G4.genes_uniq.txt (raw P-value)	H3K27ac_A549.intersect.G4.genes_uniq.txt (FDR)
cellular metabolic process (GO:0044237)	7542	3217	2317.35	+	1.39	1.99E-89	3.15E-85
primary metabolic process (GO:0044238)	7352	3104	2258.97	+	1.37	1.07E-79	8.42E-76
nitrogen compound metabolic process (GO:0006807)	6886	2938	2115.79	+	1.39	4.30E-77	2.26E-73
metabolic process (GO:0008152)	8313	3390	2554.24	+	1.33	4.08E-76	1.61E-72
organic substance metabolic process (GO:0071704)	7840	3221	2408.91	+	1.34	8.73E-73	2.76E-69
cellular macromolecule metabolic process (GO:0044260)	4909	2218	1508.33	+	1.47	2.73E-67	7.20E-64
macromolecule metabolic process (GO:0043170)	6151	2628	1889.95	+	1.39	2.04E-65	4.62E-62
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	149.33	-	 < 0.01	1.05E-57	2.08E-54
detection of chemical stimulus (GO:0009593)	522	4	160.39	-	.02	6.09E-55	1.07E-51
sensory perception of chemical stimulus (GO:0007606)	543	6	166.84	-	.04	1.41E-54	2.23E-51
G protein-coupled receptor signaling pathway (GO:0007186)	1305	118	400.97	-	.29	2.93E-53	4.21E-50
cellular nitrogen compound metabolic process (GO:0034641)	3395	1600	1043.14	+	1.53	5.80E-53	7.64E-50
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	135.50	-	 < 0.01	2.62E-52	3.19E-49
sensory perception of smell (GO:0007608)	468	2	143.80	-	.01	1.27E-51	1.44E-48
nucleobase-containing compound metabolic process (GO:0006139)	2705	1328	831.14	+	1.60	1.15E-49	1.21E-46
heterocycle metabolic process (GO:0046483)	2891	1393	888.29	+	1.57	4.54E-49	4.49E-46
detection of stimulus involved in sensory perception (GO:0050906)	557	13	171.14	-	.08	3.15E-48	2.93E-45
organelle organization (GO:0006996)	3567	1633	1095.99	+	1.49	3.70E-48	3.25E-45
nucleic acid metabolic process (GO:0090304)	2217	1132	681.19	+	1.66	1.61E-47	1.34E-44
cellular aromatic compound metabolic process (GO:0006725)	2937	1392	902.42	+	1.54	6.33E-46	5.00E-43
organic cyclic compound metabolic process (GO:1901360)	3182	1476	977.70	+	1.51	4.07E-45	3.06E-42
cellular protein metabolic process (GO:0044267)	3590	1590	1103.06	+	1.44	3.24E-40	2.33E-37
cellular component organization or biogenesis (GO:0071840)	6006	2398	1845.40	+	1.30	2.14E-38	1.47E-35
sensory perception (GO:0007600)	979	96	300.81	-	.32	1.30E-36	8.57E-34
detection of stimulus (GO:0051606)	721	52	221.53	-	.23	2.82E-36	1.78E-33
regulation of cellular metabolic process (GO:0031323)	6138	2413	1885.96	+	1.28	8.33E-35	5.07E-32
organonitrogen compound metabolic process (GO:1901564)	5246	2111	1611.88	+	1.31	7.11E-34	4.16E-31
regulation of metabolic process (GO:0019222)	6874	2643	2112.10	+	1.25	1.02E-33	5.75E-31
cellular component organization (GO:0016043)	5783	2287	1776.88	+	1.29	1.10E-33	5.79E-31
organic substance biosynthetic process (GO:1901576)	2803	1266	861.25	+	1.47	1.08E-33	5.88E-31
cellular response to stress (GO:0033554)	1741	872	534.94	+	1.63	1.35E-33	6.89E-31
biosynthetic process (GO:0009058)	2865	1285	880.30	+	1.46	3.55E-33	1.75E-30
cellular biosynthetic process (GO:0044249)	2715	1227	834.21	+	1.47	1.32E-32	6.34E-30
regulation of primary metabolic process (GO:0080090)	5925	2317	1820.51	+	1.27	1.12E-31	5.19E-29
nervous system process (GO:0050877)	1416	199	435.08	-	.46	2.13E-31	9.60E-29
cellular process (GO:0009987)	15495	5198	4760.98	+	1.09	3.04E-31	1.33E-28
gene expression (GO:0010467)	2117	998	650.47	+	1.53	5.63E-31	2.40E-28
RNA metabolic process (GO:0016070)	1582	796	486.08	+	1.64	6.45E-31	2.68E-28
system process (GO:0003008)	2057	346	632.03	-	.55	6.81E-31	2.76E-28
cellular localization (GO:0051641)	2985	1310	917.17	+	1.43	1.13E-30	4.47E-28
